PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME
01, 5502,5213241,102,N,0,4015,-122.396996,37.795415,10/6/2012 5:52:58.000000 AM
01, 5502,5213241,102,N,0,6314,-122.401551,37.79403,10/6/2012 5:56:00.000000 AM
01, 5502,5213241,102,N,0,6312,-122.409116,37.793043,10/6/2012 6:00:19.000000 AM
01, 5502,5213241,102,N,0,6311,-122.421146,37.791516,10/6/2012 6:03:59.000000 AM
01, 5502,5213241,102,N,0,6295,-122.434336,37.78984,10/6/2012 6:08:19.000000 AM
01, 5502,5213241,102,N,0,3892,-122.446908,37.787328,10/6/2012 6:11:39.000000 AM
01, 5502,5213241,102,N,0,3824,-122.464939,37.785017,10/6/2012 6:16:47.000000 AM
01, 5502,5213241,102,N,0,4277,-122.493227,37.779744,10/6/2012 6:25:48.000000 AM
01, 5504,5213242,101,N,0,4015,-122.396996,37.795415,10/6/2012 5:22:33.000000 AM
01, 5504,5213242,101,N,0,6314,-122.401551,37.79403,10/6/2012 5:25:14.000000 AM
01, 5504,5213242,101,N,0,6312,-122.409116,37.793043,10/6/2012 5:28:41.000000 AM
01, 5504,5213242,101,N,0,6311,-122.421146,37.791516,10/6/2012 5:33:24.000000 AM
01, 5504,5213242,101,N,0,6295,-122.434336,37.78984,10/6/2012 5:38:31.000000 AM
01, 5504,5213242,101,N,0,3892,-122.446908,37.787328,10/6/2012 5:44:04.000000 AM
01, 5504,5213242,101,N,0,3824,-122.464939,37.785017,10/6/2012 5:50:11.000000 AM
01, 5504,5213242,101,N,0,4277,-122.493227,37.779744,10/6/2012 6:00:36.000000 AM
01, 5628,5213243,106,N,0,4015,-122.396996,37.795415,10/6/2012 7:44:01.000000 PM
01, 5628,5213243,106,N,0,6314,-122.401551,37.79403,10/6/2012 7:46:38.000000 PM
01, 5628,5213243,106,N,0,6312,-122.409116,37.793043,10/6/2012 7:50:29.000000 PM
01, 5628,5213243,106,N,0,6311,-122.421146,37.791516,10/6/2012 7:54:41.000000 PM
01, 5628,5213243,106,N,0,6295,-122.434336,37.78984,10/6/2012 7:59:35.000000 PM
01, 5628,5213243,106,N,0,3892,-122.446908,37.787328,10/6/2012 8:04:24.000000 PM
01, 5548,5213244,109,N,0,4015,-122.396996,37.795415,10/6/2012 8:24:20.000000 PM
01, 5548,5213244,109,N,0,6314,-122.401551,37.79403,10/6/2012 8:26:50.000000 PM
01, 5548,5213244,109,N,0,6312,-122.409116,37.793043,10/6/2012 8:30:19.000000 PM
01, 5548,5213244,109,N,0,6311,-122.421146,37.791516,10/6/2012 8:35:01.000000 PM
01, 5548,5213244,109,N,0,6295,-122.434336,37.78984,10/6/2012 8:39:10.000000 PM
01, 5548,5213244,109,N,0,3892,-122.446908,37.787328,10/6/2012 8:43:09.000000 PM
01, 5628,5213245,106,N,0,4015,-122.396996,37.795415,10/6/2012 9:30:27.000000 AM
01, 5628,5213245,106,N,0,6314,-122.401551,37.79403,10/6/2012 9:32:38.000000 AM
01, 5628,5213245,106,N,0,6312,-122.409116,37.793043,10/6/2012 9:38:52.000000 AM
01, 5628,5213245,106,N,0,6311,-122.421146,37.791516,10/6/2012 9:46:32.000000 AM
01, 5628,5213245,106,N,0,6295,-122.434336,37.78984,10/6/2012 9:54:09.000000 AM
01, 5628,5213245,106,N,0,3892,-122.446908,37.787328,10/6/2012 9:59:06.000000 AM
01, 5628,5213245,106,N,0,3824,-122.464939,37.785017,10/6/2012 10:06:13.000000 AM
01, 5628,5213245,106,N,0,4277,-122.493227,37.779744,10/6/2012 10:17:56.000000 AM
01, 5608,5213246,108,N,0,4015,-122.396996,37.795415,10/6/2012 9:48:49.000000 AM
01, 5608,5213246,108,N,0,6314,-122.401551,37.79403,10/6/2012 9:51:54.000000 AM
01, 5608,5213246,108,N,0,6312,-122.409116,37.793043,10/6/2012 9:59:15.000000 AM
01, 5608,5213246,108,N,0,6311,-122.421146,37.791516,10/6/2012 10:06:55.000000 AM
01, 5608,5213246,108,N,0,6295,-122.434336,37.78984,10/6/2012 10:14:15.000000 AM
01, 5608,5213246,108,N,0,3892,-122.446908,37.787328,10/6/2012 10:19:26.000000 AM
01, 5608,5213246,108,N,0,3824,-122.464939,37.785017,10/6/2012 10:25:38.000000 AM
01, 5608,5213246,108,N,0,4277,-122.493227,37.779744,10/6/2012 10:37:25.000000 AM
01, 5600,5213247,104,N,0,4015,-122.396996,37.795415,10/6/2012 9:55:14.000000 AM
01, 5600,5213247,104,N,0,6314,-122.401551,37.79403,10/6/2012 9:58:03.000000 AM
01, 5600,5213247,104,N,0,6312,-122.409116,37.793043,10/6/2012 10:03:21.000000 AM
01, 5600,5213247,104,N,0,6311,-122.421146,37.791516,10/6/2012 10:08:55.000000 AM
01, 5600,5213247,104,N,0,6295,-122.434336,37.78984,10/6/2012 10:16:26.000000 AM
01, 5600,5213247,104,N,0,3892,-122.446908,37.787328,10/6/2012 10:22:24.000000 AM
01, 5600,5213247,104,N,0,3824,-122.464939,37.785017,10/6/2012 10:28:58.000000 AM
01, 5600,5213247,104,N,0,4277,-122.493227,37.779744,10/6/2012 10:40:14.000000 AM
01, 5504,5213248,101,N,0,4015,-122.396996,37.795415,10/6/2012 10:04:39.000000 AM
01, 5504,5213248,101,N,0,6314,-122.401551,37.79403,10/6/2012 10:06:53.000000 AM
01, 5504,5213248,101,N,0,6312,-122.409116,37.793043,10/6/2012 10:14:24.000000 AM
01, 5504,5213248,101,N,0,6311,-122.421146,37.791516,10/6/2012 10:20:08.000000 AM
01, 5504,5213248,101,N,0,6295,-122.434336,37.78984,10/6/2012 10:25:44.000000 AM
01, 5504,5213248,101,N,0,3892,-122.446908,37.787328,10/6/2012 10:30:22.000000 AM
01, 5504,5213248,101,N,0,3824,-122.464939,37.785017,10/6/2012 10:36:50.000000 AM
01, 5504,5213248,101,N,0,4277,-122.493227,37.779744,10/6/2012 10:47:07.000000 AM
01, 5633,5213249,105,N,0,4015,-122.396996,37.795415,10/6/2012 10:15:24.000000 AM
01, 5633,5213249,105,N,0,6314,-122.401551,37.79403,10/6/2012 10:17:57.000000 AM
01, 5633,5213249,105,N,0,6312,-122.409116,37.793043,10/6/2012 10:23:57.000000 AM
01, 5633,5213249,105,N,0,6311,-122.421146,37.791516,10/6/2012 10:29:07.000000 AM
01, 5633,5213249,105,N,0,6295,-122.434336,37.78984,10/6/2012 10:34:19.000000 AM
01, 5633,5213249,105,N,0,3892,-122.446908,37.787328,10/6/2012 10:39:32.000000 AM
01, 5633,5213249,105,N,0,3824,-122.464939,37.785017,10/6/2012 10:46:17.000000 AM
01, 5633,5213249,105,N,0,4277,-122.493227,37.779744,10/6/2012 10:57:31.000000 AM
01, 5485,5213250,110,N,0,4015,-122.396996,37.795415,10/6/2012 3:43:57.000000 PM
01, 5485,5213250,110,N,0,6314,-122.401551,37.79403,10/6/2012 3:50:28.000000 PM
01, 5485,5213250,110,N,0,6312,-122.409116,37.793043,10/6/2012 3:57:17.000000 PM
01, 5485,5213250,110,N,0,6311,-122.421146,37.791516,10/6/2012 4:04:38.000000 PM
01, 5485,5213250,110,N,0,6295,-122.434336,37.78984,10/6/2012 4:11:02.000000 PM
01, 5485,5213250,110,N,0,3892,-122.446908,37.787328,10/6/2012 4:17:21.000000 PM
01, 5485,5213250,110,N,0,3824,-122.464939,37.785017,10/6/2012 4:24:20.000000 PM
01, 5485,5213250,110,N,0,4277,-122.493227,37.779744,10/6/2012 4:35:47.000000 PM
01, 5635,5213251,113,N,0,4015,-122.396996,37.795415,10/6/2012 3:52:11.000000 PM
01, 5635,5213251,113,N,0,6314,-122.401551,37.79403,10/6/2012 3:57:41.000000 PM
01, 5635,5213251,113,N,0,6312,-122.409116,37.793043,10/6/2012 4:05:26.000000 PM
01, 5635,5213251,113,N,0,6311,-122.421146,37.791516,10/6/2012 4:11:27.000000 PM
01, 5635,5213251,113,N,0,6295,-122.434336,37.78984,10/6/2012 4:16:50.000000 PM
01, 5635,5213251,113,N,0,3892,-122.446908,37.787328,10/6/2012 4:22:22.000000 PM
01, 5635,5213251,113,N,0,3824,-122.464939,37.785017,10/6/2012 4:29:24.000000 PM
