PUBLIC_ROUTE_NAME,TRIP_ID,BLOCK_NAME,LONGITUDE,LATITUDE,SCHEDULED_ARRIVAL_TIME
29,5229680,2902,-122.440782,37.716642,10/7/2012 12:08:00.128000 PM
29,5229680,2902,-122.481186,37.792222,10/7/2012 11:17:00.132000 AM
56,5240996,5601,-122.392836,37.709804,10/7/2012 7:25:00.890000 PM
56,5240996,5601,-122.402419,37.712289,10/7/2012 7:29:00.895000 PM
60,5242231,6005,-122.420432,37.806427,10/7/2012 12:57:01.246000 AM
60,5242231,6005,-122.40768,37.7848,10/7/2012 12:39:01.251000 AM
60,5242231,6005,-122.408493,37.789132,10/7/2012 12:42:01.258000 AM
35,5233939,3501,-122.435197,37.762674,10/7/2012 12:00:00.736000 PM
35,5233939,3501,-122.435476,37.74192,10/7/2012 12:09:00.741000 PM
35,5233939,3501,-122.429531,37.737725,10/7/2012 12:12:00.746000 PM
48,5239078,4801,-122.466006,37.74092,10/7/2012 6:20:00.077000 PM
48,5239078,4801,-122.41855,37.752178,10/7/2012 6:37:00.084000 PM
19,5224110,1903,-122.412395,37.780309,10/7/2012 8:49:00.081000 AM
19,5224110,1903,-122.365447,37.72792,10/7/2012 8:20:00.087000 AM
19,5224110,1903,-122.420827,37.791741,10/7/2012 9:04:00.092000 AM
19,5224110,1903,-122.400571,37.754885,10/7/2012 8:37:00.098000 AM
19,5224110,1903,-122.41982,37.786744,10/7/2012 9:00:00.104000 AM
19,5224110,1903,-122.423195,37.806375,10/7/2012 9:14:00.109000 AM
19,5224110,1903,-122.382973,37.740003,10/7/2012 8:26:00.116000 AM
30,5231368,3018,-122.394631,37.777278,10/7/2012 9:48:00.146000 AM
30,5231368,3018,-122.425111,37.805037,10/7/2012 10:18:00.152000 AM
30,5231368,3018,-122.404378,37.789818,10/7/2012 9:58:00.158000 AM
30,5231368,3018,-122.403439,37.787632,10/7/2012 9:56:00.164000 AM
30,5231368,3018,-122.409932,37.800411,10/7/2012 10:10:00.171000 AM
30,5231368,3018,-122.406923,37.789596,10/7/2012 10:00:00.176000 AM
49,5312430,4912,-122.424104,37.798621,10/7/2012 3:04:00.150000 PM
49,5312430,4912,-122.45356,37.72376,10/7/2012 4:01:00.156000 PM
49,5312430,4912,-122.420324,37.779687,10/7/2012 3:18:00.162000 PM
49,5312430,4912,-122.422,37.74244,10/7/2012 3:43:00.168000 PM
49,5312430,4912,-122.435731,37.723941,10/7/2012 3:55:00.173000 PM
49,5312430,4912,-122.425363,37.80468,10/7/2012 3:00:00.180000 PM
49,5312430,4912,-122.419482,37.775527,10/7/2012 3:21:00.185000 PM
49,5312430,4912,-122.431412,37.728696,10/7/2012 3:51:00.190000 PM
49,5312430,4912,-122.421254,37.784683,10/7/2012 3:15:00.196000 PM
60,5242231,6005,-122.411712,37.79545,10/7/2012 12:48:01.264000 AM
60,5242231,6005,-122.418979,37.799236,10/7/2012 12:53:01.271000 AM
60,5242231,6005,-122.409145,37.7923,10/7/2012 12:45:01.277000 AM
49,5312480,4912,-122.45356,37.72376,10/7/2012 8:36:00.975000 AM
49,5312480,4912,-122.422,37.74244,10/7/2012 8:21:00.981000 AM
49,5312480,4912,-122.435731,37.723941,10/7/2012 8:31:00.988000 AM
49,5312480,4912,-122.431412,37.728696,10/7/2012 8:28:00.993000 AM
54,5240816,5402,-122.44723,37.720863,10/7/2012 7:51:00.694000 AM
54,5240816,5402,-122.37313,37.728779,10/7/2012 8:31:00.701000 AM
54,5240816,5402,-122.441,37.71641,10/7/2012 7:54:00.709000 AM
54,5240816,5402,-122.403269,37.727645,10/7/2012 8:11:00.716000 AM
14,5310996,1408,-122.446532,37.711468,10/7/2012 10:52:00.401000 AM
14,5310996,1408,-122.41971,37.76455,10/7/2012 10:19:00.404000 AM
14,5310996,1408,-122.417292,37.774306,10/7/2012 10:12:00.407000 AM
14,5310996,1408,-122.46126,37.70602,10/7/2012 10:59:00.410000 AM
14,5310996,1408,-122.422,37.74244,10/7/2012 10:33:00.413000 AM
19,5224117,1903,-122.41982,37.786744,10/7/2012 11:11:00.956000 AM
19,5224117,1903,-122.412395,37.780309,10/7/2012 10:59:00.963000 AM
19,5224117,1903,-122.423195,37.806375,10/7/2012 11:25:00.969000 AM
19,5224117,1903,-122.400571,37.754885,10/7/2012 10:46:00.976000 AM
49,5312430,4912,-122.418528,37.751964,10/7/2012 3:36:00.203000 PM
49,5312430,4912,-122.41971,37.76455,10/7/2012 3:28:00.209000 PM
49,5312399,4901,-122.422,37.74244,10/7/2012 10:28:00.611000 AM
49,5312399,4901,-122.419482,37.775527,10/7/2012 10:07:00.618000 AM
49,5312399,4901,-122.425363,37.80468,10/7/2012 9:47:00.624000 AM
49,5312399,4901,-122.418528,37.751964,10/7/2012 10:21:00.630000 AM
49,5312399,4901,-122.424104,37.798621,10/7/2012 9:50:00.636000 AM
